Load_synthetic
23216
24947
27654
27676
26853
25940
24984
23853
22803
21965
21216
20631
20299
20325
20781
21535
21432
20645
19989
19400
18818
18371
18413
19028
20336
22860
26205
26928
26754
26349
25408
23870
22326
21316
20612
20274
20377
21130
22716
24835
25802
25319
24243
23328
22527
22058
21992
22591
23576
25467
27956
28471
28587
28235
26969
25181
23472
22534
21720
21342
21344
21966
23249
25335
26394
25987
25074
24096
23270
22896
23030
23365
23736
25301
27880
28357
28135
27605
26453
24744
23091
22065
21423
21036
21049
21631
22978
25108
26029
25656
24899
23870
23087
22409
22454
22832
23430
25262
27643
27899
27509
26998
25862
24446
22940
21834
20908
20863
20622
20744
21379
22368
23155
24151
24943
24928
24885
24803
24743
24993
25126
25745
27205
27089
26711
26032
25146
23820
22416
21508
20679
20084
19785
19913
20009
20603
21052
21233
21588
21833
21900
22069
22259
22321
22821
24296
26734
27000
26707
25978
24651
23465
21826
20462
19886
19944
20071
20357
21972
24994
26136
25850
25285
24494
22622
22569
22581
22625
22931
23536
24884
25048
24863
24486
23698
22718
21738
21191
20719
20456
20206
20654
22125
24070
24685
24326
24035
24596
24283
24155
24030
24095
24659
25594
27439
27640
27131
26352
25119
23403
21934
21285
20625
20162
20097
20677
21844
23902
25194
24946
24637
24204
23725
23682
23999
24282
24789
25480
27505
27838
27280
26557
25503
24021
22495
21478
20838
20370
20284
20593
21525
22982
23471
23441
23071
22486
22956
23038
23008
23328
